question,answer
"Hello Doctor, I am a female 65 years old , last year I had a bypass anastomossis for heart revascularization, I take the following medecines","Hello. Thanks for posting here. I have gone through your description. Lipitor can cause increase in the liver enzymes. Your liver enzymes are high but not very high to stop Lipitor. I guess that's why your doctor has reduced the dose to 40 mg. If the liver enzymes GOT and SGPT are greater than 3 times the normal range, they are stopped. These levels usually come down when stop therapy or reduce your Lipitor dose. So in short, this is a reversible increase in the enzymes. Please continue Lipitor at 40 mg and do an LFT after two weeks. If the levels continue to increase, then statin can be stopped for a period of four weeks. We must also consider the probability of fatty liver disease in this case, which can also cause increase in liver enzyme levels. Please do a sonography of the abdomen to rule out fatty liver disease. CARTA and metoprolol do not affect liver enzyme levels and can be safely continued. Wishing you good health. Regards"
"Hi there, I am a 53 year old woman who is fit and healthy but lately I have been waking up every second morning suffering from acute upper abdominal pain feels like I am in Labor, it lasts about two hours then just mild discomfort and also my abdomen is also looks swollen??","Hi. Read and understood that a female of 53 suffers from acute upper abdominal pain every alternate morning like labor pain and subsides within 2 hours, the abdomen also looks to be swollen. The most probable reason for this can be an intestinal obstruction and may be related to the large bowel as this occurs in the morning only and may be getting reduced after passing the motion, although detailed history is not available. I would advise such a patient to rush to ER when in pain and bloating so that a simple X-ray in the standing position can help to get a proper diagnosis. Further investigations of ultrasonography/ CT scan and endoscopy can be planned according to the clinical evaluation. When you are talking about pain as if you are in labor, Gynecologists check up to see for the prolapse of uterus and reconcile as well as systole."
"My wife has a brain tumor which was operated on last October, followed by 6 weeks of chemo and radiation. Then for the last 7 months she is taking Temodar pills 5 days a month. She is to start this next regimen tonight but has a bad cough and her chest is tight. Should she take her chemo pills?",Thanks for your question on Chat Doctor. Yes she can definitely take chemo pills. But we need to rule out chest infection first because chemotherapy makes person immunosuppressive and more prone to infection.  So chest infection must be rule out first. So get done chest x-ray first. If this is normal than no need to worry about lung infection. Take antihistamines and simple antibiotic for her cough and chest tightness.  Continue chemo pills.
i was diagnosed to have mild TB after my xray but my sputum test had a negative result. The doctor still advised me to take FIXCOM 4 for 3 months which I did. But on my 2nd month I have been experiencing a lot of bone pains... arms.. fingers.. upper back... is this normal? Im also taking B complex.. but it s not working.. pain is not subsiding. Also.. im taking PHARMATON capsule as my daily vitamins.,"Hello, I have studied your case. There is possibility of TB arthritis You may need to investigate like CRP, CBC, ESR,liver function test. I will advise you to take folic acid along with TB medication. You need to take high protein diet. Fresh fruits and vegetables. Avoid oily, spicy diet. Moderate exercises and adequate rest for good recovery. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care"
"In the context of rheumatic fever, what valve is most commonly affected by damage and stenosis?",The mitral valve is most commonly affected by damage and stenosis in the context of rheumatic fever.
I FILL TIRED IN AFTER NOON .MY HEART BEAT IS IN THIS TIME ABOUT 65.MY PRESSURE IS NORMAL.MY AGE IS 60.ECG REPORT IS NORMAL.I ALSO FILL WEAKNESS IN THIS TIME. 15 DAYS AGO 1 EPISODE OF VETIGO FOR F1 MINUTE IS HAPPNE.MY SERUM LDL COLESTEROL IS 136mg/dl.I AM FIT IN MORNING.IN AFTERNOON WHEN I AM IN REST I FILL  SMALL PALPILATIN IN MY CHEST.MY WEIGHT IS SLOWLY LOOSING.WHAT IS MY PROBLEM AND ITS TREATMENT.PLEASE HELP ME.HIGHT IS 172.WEIGHT 59 KG.,"Hi, You need to undergo some examinations, such as ECG, serum glucose, carotid duplex ultrasound. Only after these examinations the right strategy may be found out. Your complaints may be caused by different conditions; heart disease, diabetes mellitus and for the episode of acute dizziness narrowing and blockage of carotid arteries should be excluded by carotid duplex ultrasound. Take fearsome back if you have any further questions"
What is the definition of spontaneous abortion and at what point in gestation does it occur?,Spontaneous abortion is the miscarriage of a fetus before 20 weeks gestation.
What is Bacillus anthracis and how does its peptide capsule contribute to its virulence?,"Bacillus anthracis is a bacterium that is responsible for the disease anthrax. It is characterized by the presence of a peptide capsule made of d glutamate, which allows for increased virulence due to unimpeded growth. The capsule acts as a shield, protecting the bacterium from the host's immune system and allowing it to replicate and spread more easily. This makes Bacillus anthracis a highly virulent pathogen that can cause serious illness or death if left untreated. In addition to its capsule, Bacillus anthracis produces a number of other virulence factors that contribute to its pathogenicity, including toxins that can damage host tissues and disrupt normal cellular processes."
"Hello The top of my stomach/under my ribs is tight, the tightness hasnt change for over 24/hrs ??its not to painful but very annoying ive been feeling sick and not sleeping very well, i feel warm but im cold and im slightly dizzy ??? thank you","Hello! Thank you for the query. Such tightness can be caused by stomach issues, gallstones, pancreas inflammation or just some mild food poisoning. As you have also dizziness and warm feeling, some inflammatory process can be the reason. If your pain radiates to the back, gallbladder inflammation or pancreas inflammation can be the reason. You should also have nausea with these issues. If you have diarrhea, food poisoning it is. If the pain is dull and localized in the center, stomach issues are the most probable reason. I suggest you to consult your doctor. Blood work, abdominal ultrasound, liver tests and pancreas tests should be done. Hope this will help. Regards."
"Hi This past weekend I rode with a friend for 5 hours to go to a Casino. When almost there I started smelling smoke. Then it was gone but I started selling it again when we were driving back those 5 hours. It was gone this morning, now for the last 3 hrs I smell it again. I do have acid reflex and pro to sinus infections, as well as seasonal allergies. My nose has been itchy, tonight I have a little drainage and it taste yucky. Could it be a sinus infection? Or mold spore from my friends car causing this. I had this happen a year ago and after a few days it went away. I started taking Zyrtec today. I also take a prescription for gerd/acid reflex for a couple of years now. I am puzzled, any insight?","Thanks for your question on Chat Doctor. I can understand your concern. By your history and description, possibility of nasal allergy is more likely. No need to worry about Sinus infection. Smoke inhalation can cause allergic reactions in susceptible individuals and your symptoms like itching, nasal discharge etc. are more suggestive of nasal allergy. Zyrtec is good Chat Doctor.  So continue with Zyrtec. Also"
"I got sick on monday, just sore throat and really heavy head, with a terrible headache. The headache is getting better and I dont have congestion in my head too much, I can still breath out of my nose. But I just sneezed and red and yellow mucus came out, and I have been coughing up yellow mucus today. What does this mean?","Hello, Welcome to Chat Doctor, The history and symptoms are suggesting me that you are having upper respiratory tract infection. This infection is may be due to viral or bacterial infection. The symptoms are in favor of bacterial infection, which is leading to yellow mucus from the respiratory tract. For the symptoms I would suggest you to follow1. Steam inhalation with Vocals.2. Tab Augmenting, 625 mg, twice daily for 5 days.3. Oral Monte LC, once in a day in night.4. Syp Ambrosia S. The aforementioned measures will help to reduce the symptoms and improve the condition. Thank you."
What is the leading reason for second stage labor arrest?,"The most common cause of second stage labor arrest is cephalopelvic disproportion, which is typically due to fetal malposition such as occiput transverse. Second stage labor arrest occurs when the cervix is fully dilated, but the baby does not descend through the birth canal despite maternal pushing efforts. This can be due to a variety of factors, including inadequate contractions, maternal exhaustion, and fetal malposition. Cephalopelvic disproportion occurs when the size or position of the baby's head is not compatible with the size or shape of the mother's pelvis, making it difficult or impossible for the baby to descend through the birth canal. Treatment for second stage labor arrest may involve methods to augment labor, such as Pitocin or assisted delivery with forceps or vacuum extraction. In some cases, a cesarean delivery may be necessary."
"Hi. I am a 57 y.o. female, 10 years post surgery removal of gall bladder recently dx w/ carpeting polyp in duodenum and just got a scan that show a 20 cm dilation of bile duct and possible liver involvement. I am trying to prepare myself for the worst...No jaundice or pain....could malignancy be involved?","Hi, dairy have gone through your question. I can understand your concern. You have dilatation of bile duct.  You have history of gall bladder removal before 10 year. Furthermore, you may have some obstruction at distal end of bile duct. It can be due to stone, structure or periampullary carcinoma or other pathology.  Go for further investigation and search the exact cause. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health."
"I have this constant bad taste in my mouth and on my tongue. No matter how many times I brush and floss my teeth it never goes away and causes bad breath. Ive been to my regular doctor and had a complete physical with blood work eveything came back normal, she said it could be acid reflux and put me on a prescription which did nothing she then sent me to an ENT Specialist all tests came back normal she then sent me to a Gastroenterologist in which i had an endoscopy done and that test came back normal as well. The foul taste and odor in my mouth is getting worse. Im at a loss of what to do.","Hello and Welcome to Chat Doctor, Thanks for writing to us. Respiratory problems, bacterial infections, gum, dental and other oral problems, as well as certain types of diseases, Chat Doctor.  If the bitter taste persists throughout the day, it could also mean that you might have a liver problem. Therefore, a proper prognosis and treatment in such cases is vital to avoid affecting your day-to-day activities. If the bad taste in your mouth that is accompanied by other symptoms such as sore teeth, sores in the mouth, ulcers, stomach problems or any other growths in the mouth you should see a physician to ensure that there is no more serious causes to the bad taste you are experiencing. Hope this helps you. Wishing you good health... Regards."
"Hi Dr. Grief, I keep trying to find symptoms, pictures, healing and what to do about it. I just keep getting thrown to other sights and never find out anything. I ve had a golf size bump on my leg for 2 weeks tomorrow. I ve been in and out of hospitals in the last year and this never happened. Thank you for your time. Lynn Bailey","Hi, If I were your treating Doctor for this case of a leg lump, I would come up with only one and one possibility that is a sebaceous cyst or ganglion or bursa! Nothing to worry about this and try not to get infected there! But definite cure is only surgical excision! I suggest you to go for an FNAC test of the lump for confirmation and to relieve your concerns! Hope this answers your question. If you have additional questions or follow-up questions then please do not hesitate in writing to us. I will be happy to answer your questions. Wishing you good health."
What are the symptoms of the Diarrheal type of Bacillus cereus food poisoning?,"The Diarrheal type of Bacillus cereus food poisoning presents with watery, nonbloody diarrhea and GI pain within 8-18 hrs of consumption."
"What is the recommended treatment for a pregnant mother who has been found to be colonized with Group B Streptococcus (GBS) in her vagina, and how does this treatment approach work?","For pregnant mothers who have been found to be colonized with Group B Streptococcus (GBS) in their vagina, the recommended treatment approach is intra partum penicillin G prophylaxis. This involves administering penicillin G antibiotics during labor to help prevent transmission of the bacteria to the newborn. The antibiotics work by killing the bacteria and reducing the risk of infection in the baby. It is important for pregnant women to be screened for GBS during prenatal care to identify those who may benefit from prophylaxis. In cases where a woman is allergic to penicillin, alternative antibiotics may be used. It is also important to note that even with prophylaxis, some babies may still develop GBS infection, so it is important to monitor newborns closely for signs of infection and seek prompt medical attention if any concerns arise."
"What is one example of a post-transcriptional modification, and what does it involve?",One post-transcriptional modification is the splicing out of introns.
"My friend was diagnosed with cancer of the rectum last week that has metaatasised to both lobes of the liver. He is meeting the MDT on Tuesday (with me) and a surgical consultant mentioned that he will have chemo before anything and that cancer of the liver found in both lobes is not usually operable. The liver team will now have met to discuss their view. Is it the case, if the chemo shrinks the liver cancer, that he can have an operation?","Hi and thanks for the query, He can have the surgery. However, the team of the liver will actually have to meet. The liver is responsible for the production of most clotting factors. The state of the liver is therefore very important to ascertain to what degree he can tolerate surgery without bleeding excessively. Based on findings of the liver function tests and other tests, management could then be adjusted, either by injecting specific factors if they are insufficient, or maybe giving some extra time for him to come up to acceptable levels to be eligible for an uneventful surgical procedure. Thanks and kind regards. Bain LE, MD"
"Hi, I am having pretty bad pain inside my belly button after having used my pinky to scratch an itch a couple days ago. I have an innie and cannot see inside my bellybutton at all. I know I didn t scratch it with my nail. It just hurts to the touch, feels as though it s bruised around the belly button area. Is it possible to get an infection in your belly button? Or to tear the belly button skin inside or behind it?","Hi, Thanks for posting in Chat Doctor. It is possible to get belly button infected. Kindly take the following measures to overcome the problem"
Sometimes I wake up at night with a lump feeling in my chest. Age 70 male. No symptoms of burping or burning. I usually do not have any difficulties with eating or digestive disorders that I recall. My wife had a gall bladder operation and apparantly had similar symptoms. I recently took a treadmill stress test. I tested above age appropriate levels. All OK. I generally sleep on my back. The lump feeling goes away after about an hour. I do little exercise but am in generally very good health for my age. Blood pressure is controlled to around 125 over 85. Cholestoral is within normal limits toward the upper range. I am wondering if it is caused by,"Hi Dear !! Thanks for your query to Chat Doctor. Read and reviewed your query and health concerns. IN the given situation, You seem to have suffered frogger with acid reflux. In the given scenario, chances of Gall bladder stones are less in your cases, as suggested from your query facts. But obesity with high normal cholesterol, needs to rule out hiatus hernia / at this advanced age, with lax tone of controlling sphincters and diaphragmatic muscles. Ekg and repeat stress test to rule out Cardiac dyspepsia, needs to be ruled out for your advanced age. Other causes leading to HERD acid reflux like IBS/ piles / fissure in ANO and others, needs to be ruled by Second opinion from GI Surgeon/Physician in your case. Work up on above lines suggested, would help in resolving the issues, in your specific case. Many other causes accompanying, need to be ruled out in planning further care in your case. Second opinion with attending GI- Surgeon would resolve your health.issues in time to come. Hope this would help you to plan further of this complex illness of yours. If need be, update any health issue 24 x 7 by a direct question to ME, at following Chat Doctor link-http"
i have viral fever 101.8 last week after take medicine from doctor fever has gone . since i reguraly take medicine i feel ok and dont have fever but tester again i have fever of 101 and after take medicie its gone but now again i m feeling sick and week  and i dont want to eat anything and i dont feel hungry let me know what i do?,"Hello are having fever since 7-8 days and regularly taking medicines. Still there is fever (sick) , anorexia (loss of appetite), weakness, these symptoms may be due to these reasons, these include.1 Typhoid fever, as this may be the reason of such long duration fever and all these symptoms are an indication of typhoid fever. Diagnosis can be confirmed by Tidal test as well as stool examination for salmonella.2 Tuberculosis is another reason of such long-standing fever. Diagnosis can be confirmed by X-ray chest as well as blood for C B C, E S R (if > 100 mm strongly suggestive of some chronic disease or tuberculosis), sputum for A EF B.3 Jaundice, as I have noted in my so many patients who visit my clinic with these symptoms have Jaundice. Diagnosis can be confirmed by liver function including serum bilirubin, S G O T, S G PT, hepatitis A, B C E.However, there are so many other reasons of such prolonged fever but deal as mentioned above. So consult a physician (2nd) and get his opinion. Hope this will be helpful for you."
"Periodically I get a very tight chest, sharp pains in the chest which proceed through my back. This includes a headache.where I have sharp pain running from ear to ear and a sharp pain in the throat. I feel like I need to lay down and it usually runs for about 1/2 hour. The pains are sharp, stabbing, and are quite severe. I have a high pain tolerance but today I almost drove to the hospital.","Respected user, HiT hanks for using Chat Doctor.come have evaluated your query thoroughly.* This may be in relation with mediastinal lesions compressing the thoracic nerve roots, intracranial pathology or others.* Need proper physical examination with series of laboratory tests, radiology work up to find out the cause and treat accordingly. Hope to clarify your query Welcome for further assistance Thanks for using Chat Doctor .com & giving opportunity to assistWishing fine recovery Regards dear take care"
How does emphysema typically affect heart and lung sounds?,Emphysema may present with distant or diminished heart and lung sounds.
Need assistance to find specialist for Schizophrenia in India Our son is suffering with Schizophrenia & we have consulted Asha Hospital ( http,"Degree understand your concerns went through your details. National Institute of Mental Health & Neurosciences (SIMIANS), Bangalore, India, Runs its own separate Schizophrenia Clinic. The Schizophrenia Clinic involves a multidisciplinary team (faculty from psychiatry, psychiatric social work and clinical psychology) that focuses on delivering comprehensive clinical care for patients with schizophrenia through Individualized Schizophrenia Treatment and Re-integration (Instar) Program. The patients will be offered individualized care through the Instar program that comprise comprehensive clinical assessment, optimizing psychopharmacological treatments, psychosocial interventions including group therapy, cognitive therapy & other psychological interventions.  Yoga-based intervention is one of the unique therapeutic approaches that is offered for suitable patients in this clinic. I suggest you to consult the In-Star Team. This is the website.http"
"I fell quite badly two months ago on my fprearm, the area became very raised and blue/purple bruised. The bruise has now gone but it still hurts to apply pressure to the area and the tissue is still raised/hard. Is that normal? Will it just sort itself?","Hello, As the symptoms you have mentioned in history, I feel this is a direct injury to the bone, that is the olecranal process.  So having these signs are common. Also, there might be some injury to the tendon of the triceps muscle which gets attached to the olecranal process.  For long term relief of pain, you can strengthen the triceps muscle, so the muscle functionality improves and pain doesn't reoccur in later stages. Hope I have answered your query. Let me know if I can assist you further. Take care Jay In Chat Doctor."
"hi my name is megan, im 19. a couple days ago i woke up with a cluster of skin tone bumps on my lwft cheek, next to my nose. they didnt hurt or itch, then the next morning the surroundin area is hard and my whole cheek is swollen, and now it really itches, and hurts a little bit what is it?","Hi Dear, Welcome to Chat Doctor. Understanding your concern. As per your query you have cheek lumps with hardness, swelling and itching which could be due to local reaction to something if you have applied during few days or may not have a specific reason. You can consider allergy testing to determine what would have caused this reaction so that it can be avoided. It could be Lipoma which is over growth of fat cells in fibrous tissue under the skin. Exact cause of lipoma is not known but sometimes minor injury can act as a trigger factor. But as it is bothering you aesthetically, you can get it removed by surgeon. Small incision under local anesthesia can serve the purpose. Hope your concern has been resolved, Best Wishes,"
What is the recommended empiric treatment for ehrlichiosis?,"The recommended empiric treatment for ehrlichiosis is doxycycline. Ehrlichiosis is a bacterial infection that is transmitted to humans through the bite of infected ticks. The symptoms of ehrlichiosis can vary, but may include fever, headache, muscle aches, and fatigue. If ehrlichiosis is suspected, treatment should be started as soon as possible to prevent complications. The recommended empiric treatment for ehrlichiosis is doxycycline, which is a broad-spectrum antibiotic that is effective against many different types of bacteria, including those that cause ehrlichiosis. Doxycycline is typically given for 7-14 days, depending on the severity of the infection and the response to treatment. In some cases, other antibiotics may be used if the patient is unable to tolerate doxycycline or if the infection is resistant to this medication."
is there advancement in endoscopy treatment after 2004? i my family my grandfather had food pipe cancer n went for endoscopy and we lost him after 2-3 days of the test. is this suitable for patient of 80+ age group?? now my grandmother has this cancer... so please suggest wat should be done??,"Hi, dairy have gone through your question. I can understand your concern. Treatment of esophageal cancer depends on type and stage of cancer. In early stage surgery is possible. In late stage surgery is not possible. Chemotherapy and radiotherapy is the treatment. At age of 80 surgery is risky. So cardiac function and other parameters should be checked first. Please send me details of her reports so that I can help you further. Hope I have answered your question, if you have any doubts then contact me at bit.ly/ Chat Doctor. Thanks for using Chat Doctor. Wish you a very good health."
"Hi, my son Gabriel is 2 months old and i just realized the tip of his tounge has white bumps on it, i tried wiping it off thinking it was formula but they are not comming off. His doctor is on vacation and i cant get a appointment until the end of this month. What could This be, is it serious, and should i take him to the emergency room at childrens hospital if so?",Hi. Welcome to Chat Doctor . I have gone through your query and can understand your concerns. As per your complaint white bumps on the tongue of your infant that did not get off on wiping and in case if it is in the form of fluid filled bumps can be due to herpetic ulcers caused by herpes simplex virus 1 causing cold sores. In case if it is in the form of curry patches it can be due to yeast infection known as Oral Thrush. You should consult a Pediatrician and get evaluated and a clinical evaluation and investigations can be done to rule out the exact cause of the problem and treatment can be planned accordingly. In case if it is cold sores they are commonly self limiting and will resolve within two weeks or even less. In case of recurrence antiviral medicines can be given. In case of oral thrush antifungal mouth Chat Doctor. Hope this information helps. Thanks and regards.
"Q:A 13-year-old boy is brought by his mother to the emergency department because he has had fever, chills, and severe coughing for the last two days. While they originally tried to manage his condition at home, he has become increasingly fatigued and hard to arouse. He has a history of recurrent lung infections and occasionally has multiple foul smelling stools. On presentation, his temperature is 102.2 °F (39 °C), blood pressure is 106/71 mmHg, pulse is 112/min, and respirations are 20/min. Physical exam reveals scattered rhonchi over both lung fields, rales at the base of the right lung base and corresponding dullness to percussion. The most likely organism responsible for this patient's symptoms has which of the following characteristics?? 
{'A': 'Coagulase-positive, gram-positive cocci', 'B': 'Green gram-negative rod', 'C': 'Lancet-shaped diplococci', 'D': 'Mixed anaerobic rods', 'E': 'Mucoid lactose-fermenting rod'},",B: Green gram-negative rod
Hi A week back salmonella o typhi count was 1,"Hello, THX to contact us. If I am your treating doctor I would like to advice you that Tidal results may be high if you are a chronic carrier of the salmonella infection. If you had been previously infected and treated, it may be possible that you become a carrier for salmonella, so you are having high tidal result. If you have anything else to ask please contact me. Than. Chat Doctor; Infectious Disease Specialist"
"i m on 10mg amlodipine, 5mg bisoprolol and 10mg ramipril. Since last friday (13th) I woke up with a painful right foot. The only thing to change recently was the addition of ramipril, I havent taken it since thursday, should I continue or stop? Any idea what this is and will it pass?","Hello, Most probably the pain is due to conditions like plantar fasciitis. As of now, you can use analgesics/anti-inflammatory combination like diclofenac/serratiopeptidase for symptomatic relief.  If symptoms persist better to consult an orthopaedician and get evaluated. In severe cases, you might require steroid injection to the sole. Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor."
"I am experiencing pain in the lower left abdominal region or just above the groin . Its not acute, but uncomfortable and can experience in certain sitting position or while walking. Its like on/off switch. Suddenly pains for a second and then disappears. Don t have any problems while eating / drinking etc. Nothing else seems abnormal. No fever , nausea etc. Nothing.","Hello! Thank you for the query. It sounds like you are suffering from inguinal hernia. This is a condition when abdominal cavity contents are getting out through inguinal canal. This is caused by weak tissues and can be treated with surgery. So if you sometimes can find a lump in your groin, the pain appears when coughing inguinal hernia is very probable. However, if this one will be ruled out, abdominal ultrasound should be performed with fool blood work and urine tests as such pain may be also caused by urinary tract infection, urinary stones, diverticulitis, left ovarian inflammation and many more. But first, you should visit a surgeon, so he can rule out inguinal hernia.  Inguinal hernia can be easily treated by surgery. However, when not treated may cause intestines obstruction, so it should not be neglected. Hope it will help. Regards"
When to seek urgent medical care when I have Organic brain syndrome ?,"Call your health care provider if:
You have been diagnosed with organic brain syndrome and you are uncertain about the exact disorder. You have symptoms of this condition. You have been diagnosed with OBS and your symptoms become worse."
I wa diagnosed with mononucleosis 3 months ago. And it lasted about 2.5 months. My doctor did a blood test about a month ago and pronounced me healthy. But she said my liver enzymes were elevated and that she wanted to take blood again in 3 weeks. Since saying that I ve been to see her and she took more blood. She says that my enzymes are still elevated. What does this mean? Why haven t they gone down? And what is the effect of alcohol on the liver when my enzymes are elevated?,"Hi, You were diagnosed as Mononucleosis & pronounced healthy 1 month back, but your liver enzymes were elevated. This elevation is due to associated Hepatitis which is a complication of mononucleosis. You are not jaundiced. You must understand that it is contagious disease., but for how long - varies individual to individual. Blood test to access the liver function and if necessary the Antibody tier may - have to be repeated. Alcohol and other Hepato-toxic Chat Doctor.  Periodic consultation for few months is a must. Once again reminding you it is contagious - so keep your things TOTALLY separate for few months. Best Wishes"
"my dad is over 85, he is not keeping well and had gone through many blood test, xrays and ct scan. his blood reports are","Hi, dairy have gone through your question. I can understand your concern. Symptoms of leukemia are fever, weight loss, weaknesses, liver and spleen enlargement etc. Your total count is high, but you should go for differential count and peripheral smear examination.  Whether you have blast cells or not.  Please send me your reports.  So that I can help you further. Thanks for using Chat Doctor. Wish you a very good health."
"What happens in the case of an ulnar nerve injury, and which areas of the body are affected by the resulting loss of sensation?","The ulnar nerve is a nerve that runs from the neck down to the hand, and is responsible for providing sensation and motor function to certain areas of the arm and hand. In the case of an ulnar nerve injury, which can occur due to trauma or compression of the nerve, there may be a loss of sensation over the medial 1 1/2 fingers, which includes the little finger and half of the ring finger. Additionally, the injury may also affect the hypothenar eminence, which is the fleshy area on the palm of the hand beneath the little finger. The loss of sensation in these areas can lead to a range of symptoms such as numbness, tingling, and weakness in the affected hand and fingers. Treatment for ulnar nerve injury may include physical therapy, medication, or in some cases, surgery."
"What are the typical characteristics of B-cell acute lymphoblastic leukemia (B-ALL) lymphoblasts, in terms of their expression of certain markers?","As per the information provided, B-ALL lymphoblasts are usually characterized by their expression of CD10, CD19, and CD20, and by being TdT+ (positive for terminal deoxynucleotidyl transferase)."
"Q:A 50-year-old Caucasian man presents for a routine checkup. He does not have any current complaint. He is healthy and takes no medications. He has smoked 10–15 cigarettes per day for the past 10 years. His family history is negative for gastrointestinal disorders. Which of the following screening tests is recommended for this patient according to the United States Preventive Services Task Force (USPSTF)?? 
{'A': 'Prostate-specific antigen for prostate cancer', 'B': 'Carcinoembryonic antigen for colorectal cancer ', 'C': 'Abdominal ultrasonography for abdominal aortic aneurysm', 'D': 'Low-dose computerized tomography for lung cancer', 'E': 'Colonoscopy for colorectal cancer'},",E: Colonoscopy for colorectal cancer
"Hello, Ill get right to the point. I have pilonidal sinus and i was wondering if it would be ok to treat it without the use of surgery. Ever sence ive had it i havent exprenced any other symptoms as in bleeding or drainage. Its simply just a painful infected hole.","Infant the treatment is only surgical. You can do the following till you make a decision to go for surgery.-Take a course of antibiotics and in my opinion Co-amoxiclav and metronidazole for a week, if not already taken any antibiotics.- do site bath in a hot/lukewarm water 3 times a day - regular walk /exercises daily if you don't have any restrictions to do that.- Good healthy diet - To maintain a proper weight proportionate to your height (normal BMI 18-25)._ proper maintenance of your personal and perianal hygiene. Hope these measure help you to certain extent but not a complete cure. Thank you"
Can you provide a brief summary or overview of colorectal cancer?,Surgery remains the primary treatment while chemotherapy and/or radiotherapy may be recommended depending on the individual patient's staging and other medical factors.
"My wife gets ulcers/sores inside her mouth within a few days of performing oral sex on me. I do not orgasm during this, it info replay. I do have hereditary herpes simplex and have developed core sores since I was a child whenever I am stressed or have a fever, but I have taken great precautions to not kiss or perform any oral sex on her when I have an outbreak. What couldthecause of her ulcers be?","Hellooral ulcers may be due to variety of reasons including street, gastric upset, vitamin deficiency, poor oral hygiene, bacterial or viral infection etc. etc so what I would suggest is that you pay a visit to your dentist and get the examination done to find out the cause of ulcers and accordingly get treated well having said that, I would also like to mention that oral sex is not a safe sided one, and beside when you are having herpes infection, safety is even more compromised now, in the meanwhile your wife can do following1.Luke warm saline rinses 4-6 times daily2.omnacortil 10 mg twice daily for 3 days3.activity one tablet daily for at least 10 days a month for 6 months4.Hegel to be applied at the ulcer site after every rinse5.also fruits rich in vitamin C, do help best of luck"
Height,"Degree understand your concerns went through your details. I suggest you not to worry much.  The suggestion any doctor gives here is, provide all the above information to the psychiatrist you are consulting. Work closely with him and he knows your problems. He should be able to provide solutions to your problems. Exercise or work plays a major part in sleep. If you work more and exercise rigorously, you shall get sleep. Otherwise, also you sleep. But the sleep may not be fulfilling or satisfactory because of the effect of the medications you are having and the lethargy you are experiencing. Do talk to your psychiatrist. If you require more of my help in this aspect, Please post a direct question to me in this website. Make sure that you include every minute details possible. I shall prescribe some psychotherapy techniques which should help you cure your condition further. Hope this answers your query. Available for further clarifications. Good luck."
Which measure is employed to differentiate between peripheral destruction and underproduction in normocytic anemia?,The reticulocyte count is the measure that is used to distinguish between peripheral destruction and underproduction in normocytic anemia.
"I get regular swelling on my right and left arm pit which also becomes red and breaks after a week or so. It irritates and pains a lot too and when it breaks, a lot of puss comes out. It is coming on a regular basis nowadays, I was having severe problems of sinusitis in the past 6 months which is now under control.Is the swelling a symptom of lymphadenitis? Can you please tell me whats the remedy and the possible causes for it? and Which specialist doctor can I consult for the same? Thanks and Appreciate the help.","Hi, Dear,Thanks for the query to my Chat Doctor clinic. I studied your query in depth. In my opinion-you have \""Recurring Armpit-Acute On Chronic-Boil. For recurrence, I would advise -FBS, pps, and CBC and HAC tests ASAP. Cause -is the body spray / and unhygienic armpit -leading to repeated infection. Hope you have cleared your worry. Would welcome you to Chat Doctor for any more queries on it or on other health-problem."
"Sir one of ma tooth broke and the sharp edge was constantly hitting my tongue for two days.then i got a root canal done.Now i have a small ulcer and pain in the tongue plus also one side of the throat i can see whitish structure and painful ,difficulty in swallowing..pls suggest me remedy or medications","Hello and welcome. Thanks for sharing your concern. The broken tooth/teeth should be ad Chat Doctor. It should be rounded with the help of aerator(dental instrument). After that if required a smooth and merging filling should be done on the affected teeth as per the requirement. After that please apply Denote as a local applicant at the affected area 3 to 4 times daily. Simultaneously take capsules B complex for around 15 days, and it should heal. Hope it helps. Thanks. Take care."
"I was sick before christmas with a really bad cold started out with a sore throat , stuffy nose , and i was phlemy . I got a fever for a day and a bit after that i started coughing upo lime green loogies . This went on for 2 months . Just when i thought i was over it i started waking up with a sore throat and stuffy nose and im phlmey agian HELP","Hi Dear, Welcome to Chat Doctor Team. Understanding your concern. As per your query persistent sore throat & stuffy nose is due to upper respiratory tract infection is caused by virus known as common cold infection. Need not worry about it. I would suggest you to take few preventive measures such as avoid fried and spicy food. Apply mist humidifiers in room. You should use decongestant nasal sprays like Origin along with antibiotic such as Amoxiclav. Take tablet acetaminophen if fever also there. Use throat lozenges. Visit ENT specialist once if symptoms keeps on persisting and get it examined and start treatment accordingly. You should do saltwater gargle as well. Avoid smoke and cold carbonated beverages. Hope your concern has been resolved. Get Well Soon. Best Wishes,"
